Year,Rank,Title,Artist,First Feature,Second Feature,Genres,Duration,Popularity,Spotify ID
2014,77,New Flame (feat. Usher & Rick Ross),Chris Brown,USHER,Rick Ross,r&b,4:04,69,3fBbfrWZUuWWrMQXFISr7N
2014,78,Love Never Felt So Good,Michael Jackson,Justin Timberlake,,,4:06,68,48td6xvpokdYwvbl3JIiXP
2014,79,Drunk On A Plane,Dierks Bentley,,,country,4:14,65,1soxUgYIZb1qx1c7o1Lc7z
2014,80,Birthday Sex,Jeremih,,,,3:46,72,4NpDZPwSXmL0cCTaJuVrCw
2014,81,Bartender Song (Sittin' At A Bar) - Alt/Rock Mix,Rehab,,,country hip hop,3:49,59,1gewemPOUilb21s7CfMS55
2014,82,La La La,Naughty Boy,Sam Smith,,,3:40,76,52gvlDnre9craz9dKGObp8
2014,83,Blurred Lines,Robin Thicke,T.I.,Pharrell Williams,,4:23,73,0n4bITAu0Y0nigrz3MFJMb
2014,84,Do What U Want,Lady Gaga,Christina Aguilera,,"art pop, pop",3:36,57,5XKXMWPACPq51OiqzxenZo
2014,85,Can't Remember to Forget You (feat. Rihanna),Shakira,Rihanna,,"latin pop, latin",3:26,74,7o1Pm9jpH0wFpN5g793Lnq
2014,86,Amnesia,La Santa Grifa,,,"mexican hip hop, latin hip hop, sad sierreño",3:08,70,2CRXFBkRh0V7FZL5kuiqdO
2014,87,No Mediocre (feat. Iggy Azalea),T.I.,Iggy Azalea,,southern hip hop,3:22,51,0SqUFLaRXwufRUsJ0t4dXB
2014,88,Come with Me Now,KONGOS,,,,3:31,64,2kWowW0k4oFymhkr7LmvzO
2014,89,Believe Me,Rod Wave,,,,2:39,47,6PX9HQUHT9eXkjPdP4snjB
2014,90,23,Mike WiLL Made-It,Miley Cyrus,Wiz Khalifa,,4:12,68,20FZrLl9zSbO9b3DhaqO6M
2014,91,Beachin',Jake Owen,,,"country, acoustic country",3:11,52,5dNGORzxFb5z3v7vSAFkTU
2014,92,White Walls (feat. ScHoolboy Q & Hollis),Macklemore & Ryan Lewis,Macklemore,Ryan Lewis,,3:40,56,1MFD6gdVDjFFMM8ItH9ZhI
2014,93,She Looks So Perfect,5 Seconds of Summer,,,,3:22,68,1gugDOSMREb34Xo0c1PlxM
2014,94,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,Hayley Williams,,edm,3:37,63,2QtJA4gbwe1AcanB2p21aP
2014,95,Partition,Beyoncé,,,,5:19,68,5hgnY0mVcVetszbb85qeDg
2014,96,Studio,ScHoolboy Q,BJ The Chicago Kid,,,4:38,66,29gsi1zZrZxdStACmTQB0Z
2014,97,0 To 100 / The Catch Up,Drake,,,"rap, hip hop",4:35,66,4jtyUzZm9WLc2AdaJ1dso7
2014,98,I Don't Dance,CHAD,Ryan,Disney,,3:37,58,6p6TjiJHc1kJQt5dXzkdrs
2014,99,Somethin' Bad (with Carrie Underwood),Miranda Lambert,Carrie Underwood,,country,2:49,62,6s9m5J92By7jii22Q2XtY2
2014,100,Adore You,Harry Styles,,,,3:27,78,3jjujdWJ72nww5eGnfs2E7
2015,1,Uptown Funk (feat. Bruno Mars),Mark Ronson,Bruno Mars,,,4:29,84,32OlwWuMpZ6b0aN2RZOeMS
2015,2,Thinking out Loud,Ed Sheeran,,,soft pop,4:41,80,34gCuhDGsG4bRPIf9bb02f
2015,3,See You Again (feat. Kali Uchis),Tyler,The Creator,Kali Uchis,,3:00,89,7KA4W4McWYRpgf0fWsJZWB
2015,4,Trap Queen,Fetty Wap,,,,3:42,73,2d8JP84HNLKhmd6IYOoupQ
2015,5,SugarCrash!,ElyOtto,,,hyperpop,1:20,67,2ePtv8MlBO9nuuXABqAfEX
2015,6,Shut Up And Dance With Me,Fun Guns,,,,3:24,54,4KYAV74fzH1rUipmxXejw1
2015,7,Blank Space,Taylor Swift,,,,3:51,69,1p80LdxRV74UKvL8gnD7ky
2015,8,Watch Me (Whip / Nae Nae),Silentó,,,,3:05,64,5RIVoVdkDLEygELLCniZFr
2015,9,Earned It (Fifty Shades Of Grey),The Weeknd,,,,4:37,71,4frLb7nWtsz2ymBE6k2GRP
2015,10,The Hills,The Weeknd,,,,4:02,83,7fBv7CLKzipRk6EC6TWHOB
2015,11,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,,,,3:00,64,023OVLNzXhX0j7CxswUt6D
2015,12,Can't Feel My Face,The Weeknd,,,,3:33,79,22VdIZQfgXJea34mQxlt81
2015,13,Love Me Like You Do,Ellie Goulding,,,,4:13,76,0Cy7wt6IlRfBPHXXjmZbcP
2015,14,Take Me to Church,Hozier,,,,4:01,79,1CS7Sd1u5tWkstBhpssyjP
2015,15,Bad Blood,Taylor Swift,,,,3:31,59,273dCMFseLcVsoSWx59IoE
2015,16,Lean On,Major Lazer,DJ Snake,MØ,moombahton,2:56,73,01aTsQoKoeXofSTvKuunzv
2015,17,Want to Want Me,Jason Derulo,,,,3:27,73,7oGZAicScQt96OAW4AruYy
2015,18,Shake It Off,Taylor Swift,,,,3:39,68,5xTtaWoae3wi06K5WfVUUH
2015,19,Where Are Ü Now (with Justin Bieber),Jack Ü,Skrillex,Diplo,,4:10,73,66hayvUbTotekKU3H4ta1f
2015,20,Fight Song,Rachel Platten,,,,3:24,73,37f4ITSlgPX81ad2EvmVQr
2015,21,679 (feat. Remy Boyz),Fetty Wap,Remy Boyz,,,3:16,71,5NQbUaeTEOGdD6hHcre0dZ
2015,22,Lips Are Movin,Meghan Trainor,,,,3:02,66,6gj08XDlv9Duc2fPOxUmVD
2015,23,Worth It (feat. Kid Ink),Fifth Harmony,Kid Ink,,pop,3:44,73,41Fflg7qHiVOD6dEPvsCzO
2015,24,Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,Chris Brown,Jhené Aiko,r&b,3:46,49,6p5abLu89ZSSpRQnbK9Wqs
2015,25,"Honey, I'm Good",Andy Grammer,,,,3:19,72,4Tt6GiWS2V9sQjZjS2xjp2
2015,26,I'm Not The Only One,Sam Smith,,,soft pop,3:59,82,7795WJLVKJoAyVoOtCWqXN
2015,27,Good For You,Selena Gomez,A$AP Rocky,,pop,3:41,68,578Eooad7oUyn4stovZiPg
2015,28,All About That Bass,Meghan Trainor,,,,3:07,71,5jE48hhRu8E6zBDPRSkEq7
2015,29,Style,Taylor Swift,,,,3:51,65,4lIxdJw6W3Fg4vUIYCB0S5
2015,30,Hotline Bling,Drake,,,"rap, hip hop",4:27,76,0wwPcA6wtMf6HUMpIRdeP7
2015,31,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,AFROJACK,Bebe Rexha,"edm, dance",3:12,60,5b2bu6yyATC1zMXDGScJ2d
2015,32,G.D.F.R.,Josh Vietti,,,,3:09,13,7hPADkh1W5KXNlsZ5llOdQ
2015,33,What Do You Mean?,Justin Bieber,,,,3:25,80,4B0JvthVoAAuygILe3n4Bs
2015,34,Photograph,Ed Sheeran,,,soft pop,4:18,82,1HNkqx9Ahdgi1Ixy2xkKkL
2015,35,Hello,Adele,,,soft pop,4:55,70,62PaSfnXSMyLshYJrlTuL3
2015,36,Stitches,Shawn Mendes,,,pop,3:26,82,5jsw9uXEGuKyJzs0boZ1bT
2015,37,Talking Body,Tove Lo,,,,3:58,67,2tpfxAXiI52znho4WE3XFA
2015,38,"jealousy, jealousy",Olivia Rodrigo,,,,2:53,79,0MMyJUC3WNnFS1lit5pTjk
2015,39,Time of Our Lives,Pitbull,Ne-Yo,,,3:49,80,2bJvI42r8EF3wxjOuDav4r
2015,40,Locked Away (feat. Adam Levine),R. City,Adam Levine,,,3:47,79,7x5xYW5W42OGPAdHUyyguy
2015,41,Somebody That I Used To Know,Gotye,Kimbra,,,4:04,74,4wCmqSrbyCgxEXROQE6vtV
2015,42,FourFiveSeconds,Rihanna,Kanye West,Paul McCartney,,3:08,76,78TTtXnFQPzwqlbtbwqN0y
2015,43,Centuries,Fall Out Boy,,,"emo, pop punk",3:48,79,04aAxqtGp5pv12UXAg4pkq
2015,44,My Way - 2008 Remastered,Frank Sinatra,,,"christmas, big band, adult standards, swing music, vocal jazz, jazz",4:36,67,2YkIDPL5lGhRhomCq4S2RO
2015,45,Take Your Time,Hudson Westbrook,,,country,3:50,66,1OqSeoLiCZMEWufER9KaZK
2015,46,Animals,Maroon 5,,,pop,3:51,79,2bL2gyO6kBdLkNSkxXNh6x
2015,47,I Don't F**k With You,Big Sean,E-40,,,4:44,36,7taXl2C2594pF4gjumrF4W
2015,48,Bitch Better Have My Money,Rihanna,,,,3:39,72,0NTMtAO2BV4tnGvw9EgBVq
2015,49,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,,,southern hip hop,2:56,64,4T0ScSPdQKmGvruK7pavNP
2015,50,Nasty Freestyle,T-Wayne,,,,2:22,54,0PT7nlpo11hYYyfnBgtilT
2015,51,ONLY,LeeHi,,,"k-ballad, k-pop",4:00,76,6TBJkXHPhu3EsMk1bshwuI
2015,52,Elastic Heart,Sia,,,,4:17,66,5S9lfZu1YF8xKkgSsqL2Bd
2015,53,Cool for the Summer,Demi Lovato,,,,3:34,41,4YieJ8UoB4t4w8Ua0N3nGv
2015,54,Renegades,X Ambassadors,,,,3:15,75,0fYVliAYKHuPmECRs1pbRf
2015,55,I Don't Mind (feat. Juicy J),USHER,Juicy J,,r&b,4:11,62,7aXuop4Qambx5Oi3ynsKQr
2015,56,Love Me Harder,Ariana Grande,The Weeknd,,pop,3:56,79,5J4ZkQpzMUFojo1CtAZYpn
2015,57,Wildest Dreams,Taylor Swift,,,,3:40,63,59HjlYCeBsxdI0fcm3zglw
2015,58,Mayonaka no Door / Stay With Me,Miki Matsubara,,,"city pop, j-pop",5:12,73,2BHj31ufdEqVK5CkYDp9mA
2015,59,You Know You Like It,DJ Snake,AlunaGeorge,,,4:07,70,57kR5SniQIbsbVoIjjOUDa
