Year,Rank,Title,Artist,First Feature,Second Feature,Genres,Duration,Popularity,Spotify ID
2021,63,Leave Before You Love Me (with Jonas Brothers),Marshmello,Jonas Brothers,,,2:34,77.0,4qu63nuBpdn0qHUHuObEj1
2021,64,Glad You Exist,Dan + Shay,,,,2:24,54.0,3oV2RVOmwdWdf9BmGS4Oad
2021,65,Lonely (with benny blanco),Justin Bieber,benny blanco,,,2:29,70.0,3S8jK1mGzQi24ilFb45DAZ
2021,66,Beggin',Måneskin,,,,3:31,81.0,3Wrjm47oTz2sjIgck11l5e
2021,67,Streets,Doja Cat,,,,3:46,81.0,60ynsPSSKe6O3sfwRnIBRf
2021,68,What’s Next,Drake,,,,2:58,64.0,3aQem4jVGdhtg116TmJnHz
2021,69,Famous Friends,Chris Young,Kane Brown,,,2:46,60.0,00KyYtT6NaXwbPecina5Pj
2021,70,Lil Bit (feat. Florida Georgia Line),Nelly,Florida Georgia Line,,,3:15,63.0,33aow0AcXYvT1FoWNzMcqN
2021,71,Thot Shit,Megan Thee Stallion,,,,3:04,63.0,7FdmHr87G79PDRGy9SPBkZ
2021,72,late at night,Roddy Ricch,,,,2:54,59.0,6kksmL4t09IgxhajuVDDxR
2021,73,Kings & Queens,Ava Max,,,,2:42,79.0,7a53HqqArd4b9NF4XAmlbI
2021,74,Anyone,Justin Bieber,,,,3:10,68.0,2WnAKZefdRHxtBEkRjFOHC
2021,75,Track Star,Mooski,,,,3:19,51.0,5hChuUMe5iHfjkXgzj1D4b
2021,76,Time Today,Moneybagg Yo,,,,2:16,69.0,0YrKSfpvflYnLSBd4Jtu6J
2021,77,Cry Baby (feat. DaBaby),Megan Thee Stallion,DaBaby,,,2:17,61.0,4aarlAfLKVCTxUDNgbwhjH
2021,78,All I Want for Christmas Is You,Mariah Carey,,,,4:01,89.0,0bYg9bo50gSsH3LtXe2SQn
2021,79,No More Parties - Remix,Coi Leray,Lil Durk,,,3:12,46.0,5A4WcRuy0FFEAC5pAK43oa
2021,80,What’s Your Country Song,Thomas Rhett,,,,2:51,65.0,4oR2cCQGs0Yt0Mgr2diV6V
2021,81,One Too Many,Keith Urban,P!nk,,,3:23,60.0,5NUXE8W12lWcUXgJRCjeEw
2021,82,Arcade,Duncan Laurence,,,,3:05,74.0,1J14CdDAvBTE1AJYUOwl6C
2021,83,Yonaguni,Bad Bunny,,,,3:26,75.0,2JPLbjOn0wPCngEot2STUS
2021,84,GOOD TIME,Niko Moon,,,,3:34,60.0,2S8UMuLJ0z8agFgFGJ6Ztt
2021,85,If I Didn’t Love You,Jason Aldean,Carrie Underwood,,,3:32,63.0,7IYoh1u7dFM1xIWSEYd5B8
2021,86,Knife Talk (with 21 Savage ft. Project Pat),Drake,21 Savage,Project Pat,,4:02,74.0,2BcMwX1MPV6ZHP4tUT9uq6
2021,87,pov,Ariana Grande,,,,3:21,72.0,3UoULw70kMsiVXxW0L3A33
2021,88,Just the Way,Parmalee,Blanco Brown,,,3:13,67.0,4h5OVQQbeqw3lNaFIbmlzG
2021,89,Take My Breath,The Weeknd,,,,5:39,67.0,2vgUijXOTRMnWXDtvgMp2b
2021,90,We're Good,Dua Lipa,,,,2:45,66.0,1diS6nkxMQc3wwC4G1j0bh
2021,91,Hell Of A View,Eric Church,,,,2:55,64.0,4mXGooManGPH6xAWRAtRJU
2021,92,Rockin' Around The Christmas Tree,Brenda Lee,,,,2:06,87.0,2EjXfH91m7f8HiJN1yQg97
2021,93,Put Your Records On,Ritt Momney,,,,3:30,67.0,6AGOKlMZWLCaEJGnaROtF9
2021,94,Happier Than Ever,Billie Eilish,,,,4:58,81.0,4RVwu0g32PAqgUiJoXsdF8
2021,95,Single Saturday Night,Cole Swindell,,,,3:09,54.0,6LnIxE8CqkK7faQV76nEHS
2021,96,Things A Man Oughta Know,Lainey Wilson,,,,3:23,69.0,3S0sk6DSTgesXsUSAEHNr5
