Year,Rank,Title,Artist,Spotify ID,Genres,Duration,Popularity
2008,30,Tattoo,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,europop,3:03,79
2008,31,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",7KA4W4McWYRpgf0fWsJZWB,,3:00,89
2008,32,Shake It Off,Taylor Swift,5xTtaWoae3wi06K5WfVUUH,,3:39,68
2008,33,Stop And Stare,OneRepublic,48s0QHJgmiNsth3WEO6U4M,soft pop,3:43,58
2008,34,Take You There,Sean Kingston,6AdLyvisRKHLAwARaZMGr6,,3:56,62
2008,35,Paper Planes,M.I.A.,1ixbwbeBi5ufN4noUKmW5a,,3:25,79
2008,36,Hot N Cold,Katy Perry,1y4eb6hmAvsqlDOl3fx9kk,pop,3:40,70
2008,37,Live Your Life,"T.I., Rihanna",3jlbL2OTD5YmIunYzgQTAN,southern hip hop,5:38,73
2008,38,Bust It Baby Part 2,Plies,4pkyUUoPFqsZHtWe6nkEG0,southern hip hop,3:50,5
2008,39,American Boy,"Estelle, Kanye West",6etwirSInfuJrSOlogS6Sh,,4:44,77
2008,40,Got Money,"Lil Wayne, T-Pain",46lIt6GmL0VkkbuUyGDbCs,"rap, hip hop",4:04,53
2008,41,Our Song,Taylor Swift,15DeqWWQB4dcEWzJg15VrN,,3:21,66
